mean1,std1,n1,dim1,dist1,mean2,std2,n2,dim2,dist2,time_pald_numpy,bound_pald_numpy
1,1,310,1,normal,1,1,310,1,normal,14.487314939498901,0.0034419225367687566
1,1,310,1,normal,1,1,310,1,normal,14.447895526885986,0.0034424843665636245
1,1,310,1,normal,1,1,310,1,normal,14.528260946273804,0.0034333903073897223
1,1,410,1,normal,1,1,310,1,normal,19.518184185028076,0.0030366273801477666
1,1,410,1,normal,1,1,310,1,normal,19.63843607902527,0.003027853299442888
1,1,410,1,normal,1,1,310,1,normal,19.530696630477905,0.0030250822073758805
1,1,410,1,normal,1,1,310,1,normal,19.61560845375061,0.003031670142118446
1,1,410,1,normal,1,1,310,1,normal,19.70856213569641,0.003031742402147645
1,1,510,1,normal,1,1,310,1,normal,25.728495836257935,0.0027170823349481053
1,1,510,1,normal,1,1,310,1,normal,25.821961879730225,0.002711317849740955
1,1,510,1,normal,1,1,310,1,normal,25.868128538131714,0.0027117698770219656
1,1,510,1,normal,1,1,310,1,normal,26.28326106071472,0.002711619615731296
1,1,510,1,normal,1,1,310,1,normal,25.83990979194641,0.002718731229609094
1,1,610,1,normal,1,1,310,1,normal,32.774821043014526,0.0024590838282527996
1,1,610,1,normal,1,1,310,1,normal,32.65474009513855,0.0024618252610999233
1,1,610,1,normal,1,1,310,1,normal,32.905256032943726,0.002459235382455338
1,1,610,1,normal,1,1,310,1,normal,32.96602249145508,0.0024580574409057265
1,1,610,1,normal,1,1,310,1,normal,32.67606163024902,0.0024617024024451758
1,1,710,1,normal,1,1,310,1,normal,40.92316174507141,0.0022510647858629833
1,1,710,1,normal,1,1,310,1,normal,40.81731200218201,0.0022464065693782
1,1,710,1,normal,1,1,310,1,normal,41.235251665115356,0.0022518023831457406
1,1,710,1,normal,1,1,310,1,normal,41.00564932823181,0.0022526777643624954
1,1,710,1,normal,1,1,310,1,normal,41.057037353515625,0.0022513412949984363
1,1,810,1,normal,1,1,310,1,normal,50.28845500946045,0.0020780996788313925
1,1,810,1,normal,1,1,310,1,normal,49.92962455749512,0.0020782412396669254
1,1,810,1,normal,1,1,310,1,normal,50.35441184043884,0.0020791892905607542
1,1,810,1,normal,1,1,310,1,normal,50.46098446846008,0.002080576918028943
1,1,810,1,normal,1,1,310,1,normal,50.1870059967041,0.002077618464886513
1,1,910,1,normal,1,1,310,1,normal,60.643413066864014,0.001930991931553289
1,1,910,1,normal,1,1,310,1,normal,60.306026458740234,0.0019301345830271435
1,1,910,1,normal,1,1,310,1,normal,60.60654401779175,0.0019312271140502451
1,1,910,1,normal,1,1,310,1,normal,60.16246199607849,0.0019333613848329964
1,1,910,1,normal,1,1,310,1,normal,60.440784215927124,0.0019298890329047076
1,1,10,1,normal,1,1,410,1,normal,6.2746405601501465,0.004778455204474015
1,1,10,1,normal,1,1,410,1,normal,6.290238380432129,0.004780131709140454
1,1,10,1,normal,1,1,410,1,normal,6.323969125747681,0.004775152927722506
1,1,10,1,normal,1,1,410,1,normal,6.3784706592559814,0.004784663529580626
1,1,10,1,normal,1,1,410,1,normal,6.255620002746582,0.0047782839783604425
1,1,110,1,normal,1,1,410,1,normal,10.108898401260376,0.003995055601549682
1,1,110,1,normal,1,1,410,1,normal,10.26468300819397,0.003989143841283778
1,1,110,1,normal,1,1,410,1,normal,10.337603569030762,0.003990223718585917
1,1,110,1,normal,1,1,410,1,normal,10.286443710327148,0.00398919606183772
1,1,110,1,normal,1,1,410,1,normal,10.286451578140259,0.003997895114976326
1,1,210,1,normal,1,1,410,1,normal,14.361952781677246,0.003436165153173799
1,1,210,1,normal,1,1,410,1,normal,14.495536088943481,0.0034417600102309835
1,1,210,1,normal,1,1,410,1,normal,14.40674090385437,0.003441784542750136
1,1,210,1,normal,1,1,410,1,normal,14.654287099838257,0.0034369184920144645
1,1,210,1,normal,1,1,410,1,normal,14.69167709350586,0.0034384763824360197
1,1,310,1,normal,1,1,410,1,normal,19.81085205078125,0.00303336634339072
1,1,310,1,normal,1,1,410,1,normal,19.72420597076416,0.0030275812089642844
1,1,310,1,normal,1,1,410,1,normal,19.768591165542603,0.0030314016609333193
1,1,310,1,normal,1,1,410,1,normal,19.93945598602295,0.0030354522400126687
1,1,310,1,normal,1,1,410,1,normal,19.9015793800354,0.0030362548520491443
1,1,410,1,normal,1,1,410,1,normal,25.89690589904785,0.0027102483294153866
1,1,410,1,normal,1,1,410,1,normal,25.693539142608643,0.0027116167477507953
1,1,410,1,normal,1,1,410,1,normal,25.7803475856781,0.0027131880926835198
1,1,410,1,normal,1,1,410,1,normal,25.73912215232849,0.0027195257089584297
1,1,410,1,normal,1,1,410,1,normal,25.79341769218445,0.002713889872032151
1,1,510,1,normal,1,1,410,1,normal,32.87475514411926,0.002454465297321503
1,1,510,1,normal,1,1,410,1,normal,32.82253050804138,0.0024610535116592856
1,1,510,1,normal,1,1,410,1,normal,32.815550565719604,0.002456686738837594
