mean1,std1,n1,dim1,dist1,mean2,std2,n2,dim2,dist2,time_pald_numpy,time_pald_cupy_multistream,time_pald_cupy,time_pald_cupy_loop,time_pald_cupy_kernels,bound_pald_numpy,bound_pald_cupy_multistream,bound_pald_cupy,bound_pald_cupy_loop,bound_pald_cupy_kernels
0,1,10,1,normal,0,1,210,1,normal,1.1609747409820557,0.011519193649291992,9.746243715286255,0.010905981063842773,3.207930564880371,0.008153846507999102,0.00815384713086215,0.008153846507999102,0.00815384713086215,0.00815384713086215
0,1,10,1,normal,0,1,210,1,normal,1.1664226055145264,0.01140594482421875,9.75579833984375,0.011194705963134766,3.190638542175293,0.008129285911141421,0.008129286766052245,0.008129285911141421,0.00812928622419184,0.00812928622419184
0,1,210,1,normal,0,1,210,1,normal,4.418338298797607,0.02280259132385254,35.95968723297119,0.021867990493774414,11.820953845977783,0.004780260766068098,0.004780258451189313,0.004780260766068098,0.004780260154179164,0.00478025788352603
0,1,210,1,normal,0,1,210,1,normal,4.431035995483398,0.023177385330200195,35.76773762702942,0.02141261100769043,11.566593647003174,0.004768528777552993,0.00476852712177095,0.004768528777552993,0.004768528257097517,0.00476852712177095
0,1,210,1,normal,0,1,210,1,normal,4.435307741165161,0.023000240325927734,35.74397039413452,0.022135257720947266,11.788859128952026,0.004767483072327076,0.004767481486002604,0.004767483072327076,0.004767482621329171,0.0047674809183393205
0,1,210,1,normal,0,1,210,1,normal,4.425469160079956,0.022867441177368164,35.95897650718689,0.02178668975830078,11.611547470092773,0.004761005237482686,0.00476100416410537,0.004761005237482686,0.004761005015600295,0.004761003880273728
0,1,210,1,normal,0,1,210,1,normal,4.435860633850098,0.023221969604492188,35.92294979095459,0.021941661834716797,11.877078294754028,0.004778427701733288,0.004778426034109933,0.004778427701733288,0.0047784271694365004,0.004778424898783366
0,1,410,1,normal,0,1,210,1,normal,10.297178030014038,0.03420710563659668,79.86772322654724,0.0334470272064209,25.409131288528442,0.0034370081531548777,0.0034370083962717364,0.0034370081531548777,0.0034370083962717364,0.0034370083962717364
0,1,410,1,normal,0,1,210,1,normal,10.29684829711914,0.03380870819091797,79.18154239654541,0.03321647644042969,25.61744213104248,0.0034467255132359428,0.003446726645192792,0.0034467255132359428,0.0034467258761006017,0.003446726645192792
0,1,410,1,normal,0,1,210,1,normal,10.229794263839722,0.03506016731262207,79.30596971511841,0.033190011978149414,25.75194525718689,0.0034435592626861863,0.0034435606771899808,0.0034435592626861863,0.0034435602926438853,0.0034435606771899808
