"mean1" "std1" "dist1" "n1" "dim1" "mean2" "std2" "dist2" "n2" "dim2" "time_pald_R" "bound_pald_R"
1 1 "normal" 510 1 1 1 "normal" 210 1 27.8166656494141 0.00302624174915386
1 1 "normal" 510 1 1 1 "normal" 210 1 27.828688621521 0.00302939075034115
1 1 "normal" 510 1 1 1 "normal" 210 1 27.944979429245 0.00303048290633709
1 1 "normal" 510 1 1 1 "normal" 210 1 28.0645670890808 0.00303316371971819
1 1 "normal" 610 1 1 1 "normal" 210 1 43.7908918857574 0.0027133662525006
1 1 "normal" 610 1 1 1 "normal" 210 1 43.5208127498627 0.00271100523382794
1 1 "normal" 610 1 1 1 "normal" 210 1 43.4592754840851 0.00270520131356394
1 1 "normal" 610 1 1 1 "normal" 210 1 43.5629453659058 0.00271101961941957
1 1 "normal" 610 1 1 1 "normal" 210 1 43.6725883483887 0.00271293594607604
1 1 "normal" 710 1 1 1 "normal" 210 1 63.9535460472107 0.00246470747453137
1 1 "normal" 710 1 1 1 "normal" 210 1 63.6850728988647 0.00245359011664006
1 1 "normal" 710 1 1 1 "normal" 210 1 64.737105846405 0.00245525971755746
1 1 "normal" 710 1 1 1 "normal" 210 1 63.8337295055389 0.00246088527039003
1 1 "normal" 710 1 1 1 "normal" 210 1 63.7594327926636 0.00245441685714706
1 1 "normal" 810 1 1 1 "normal" 210 1 90.9979701042175 0.00224965826232401
1 1 "normal" 810 1 1 1 "normal" 210 1 90.9544026851654 0.00224920781401182
1 1 "normal" 810 1 1 1 "normal" 210 1 90.7451069355011 0.00225234350513456
1 1 "normal" 810 1 1 1 "normal" 210 1 90.7741229534149 0.00225011566762465
1 1 "normal" 810 1 1 1 "normal" 210 1 90.3728370666504 0.00224541582015523
1 1 "normal" 910 1 1 1 "normal" 210 1 124.075827121735 0.00208060361495293
1 1 "normal" 910 1 1 1 "normal" 210 1 124.381345748901 0.00207852636643934
1 1 "normal" 910 1 1 1 "normal" 210 1 124.266939640045 0.0020802908810155
1 1 "normal" 910 1 1 1 "normal" 210 1 124.300575256348 0.00208211498840005
1 1 "normal" 910 1 1 1 "normal" 210 1 124.553597688675 0.00207854114037066
1 1 "normal" 10 1 1 1 "normal" 310 1 2.32132744789124 0.00599237551480669
1 1 "normal" 10 1 1 1 "normal" 310 1 2.30684375762939 0.00598416889231613
1 1 "normal" 10 1 1 1 "normal" 310 1 2.32423686981201 0.00598034773165802
1 1 "normal" 10 1 1 1 "normal" 310 1 2.33956503868103 0.00600945772273243
1 1 "normal" 10 1 1 1 "normal" 310 1 2.28372859954834 0.00597663475874794
1 1 "normal" 110 1 1 1 "normal" 310 1 4.80598330497742 0.00477620686281741
1 1 "normal" 110 1 1 1 "normal" 310 1 4.79954934120178 0.00477955464509153
1 1 "normal" 110 1 1 1 "normal" 310 1 4.84675598144531 0.00475436461322332
1 1 "normal" 110 1 1 1 "normal" 310 1 4.6788969039917 0.00477460100914845
1 1 "normal" 110 1 1 1 "normal" 310 1 4.85030770301819 0.00477604590668434
1 1 "normal" 210 1 1 1 "normal" 310 1 8.6661536693573 0.00397901180957636
1 1 "normal" 210 1 1 1 "normal" 310 1 8.66756057739258 0.00398592144155766
1 1 "normal" 210 1 1 1 "normal" 310 1 8.58698534965515 0.00397714726272121
1 1 "normal" 210 1 1 1 "normal" 310 1 8.55759692192078 0.00398720041817293
1 1 "normal" 210 1 1 1 "normal" 310 1 8.5873396396637 0.00399780430397423
1 1 "normal" 310 1 1 1 "normal" 310 1 16.7807037830353 0.00344145652296434
1 1 "normal" 310 1 1 1 "normal" 310 1 16.5013909339905 0.00344135216509633
1 1 "normal" 310 1 1 1 "normal" 310 1 16.6544902324677 0.00345094443882598
1 1 "normal" 310 1 1 1 "normal" 310 1 16.569522857666 0.0034429597565534
1 1 "normal" 310 1 1 1 "normal" 310 1 16.6015677452087 0.00343952303083662
1 1 "normal" 410 1 1 1 "normal" 310 1 27.7412893772125 0.00303327212569302
1 1 "normal" 410 1 1 1 "normal" 310 1 27.664272069931 0.00302863124570372
1 1 "normal" 410 1 1 1 "normal" 310 1 27.5963332653046 0.00302136995240787
1 1 "normal" 410 1 1 1 "normal" 310 1 27.8052225112915 0.00302568707918598
1 1 "normal" 410 1 1 1 "normal" 310 1 27.7902178764343 0.00303187300944229
1 1 "normal" 510 1 1 1 "normal" 310 1 43.5174930095673 0.00271411371899496
1 1 "normal" 510 1 1 1 "normal" 310 1 43.7777345180511 0.00271585698362762
1 1 "normal" 510 1 1 1 "normal" 310 1 43.7936291694641 0.00271746096461108
1 1 "normal" 510 1 1 1 "normal" 310 1 43.6760244369507 0.00271351120206858
1 1 "normal" 510 1 1 1 "normal" 310 1 44.0599734783173 0.00272183060564075
1 1 "normal" 610 1 1 1 "normal" 310 1 64.0637495517731 0.00245818945028162
1 1 "normal" 610 1 1 1 "normal" 310 1 64.8057360649109 0.00245531521013895
1 1 "normal" 610 1 1 1 "normal" 310 1 63.8056511878967 0.00245548163002413
1 1 "normal" 610 1 1 1 "normal" 310 1 63.5075993537903 0.00245933394914577
1 1 "normal" 610 1 1 1 "normal" 310 1 64.2073974609375 0.00245941246341521
