rows,cols,vals
75,88,0.00365463506408696
6,89,0.00280651389986358
7,89,0.00283406114794859
11,89,0.00337122106388137
15,89,0.00387981928551004
23,89,0.00283361163082174
29,89,0.00378285971669228
32,89,0.00353992327230167
35,89,0.00294539099570433
36,89,0.00598861223381892
42,89,0.00301090603915918
45,89,0.00315232393576474
60,89,0.00277254202871855
69,89,0.00528507884021017
79,89,0.00298911255719595
83,89,0.00326753103703057
23,90,0.00317429101864835
27,90,0.00295167145949351
34,90,0.00452575085204577
36,90,0.00295087926991902
48,90,0.00381375228341904
51,90,0.00278526280290066
52,90,0.00284874395577971
56,90,0.00276924190219573
57,90,0.00271234154198141
69,90,0.00320001420616284
80,90,0.00428373901377638
83,90,0.00284414206569876
89,90,0.00329688925540637
22,91,0.00386932029369424
36,91,0.00317473298163926
42,91,0.00332144254773587
54,91,0.00379585574413519
80,91,0.00321322554188044
9,92,0.00346092512833204
16,92,0.00344970791762618
18,92,0.00282449054482316
27,92,0.00369251083902619
38,92,0.00493802673976025
44,92,0.00273173277244373
47,92,0.00350733091557525
48,92,0.00303816072495381
52,92,0.00320248979523894
54,92,0.00366768864755747
55,92,0.00379026153566768
59,92,0.00391834035128471
61,92,0.00331478664593427
68,92,0.00304091614696009
71,92,0.00275931868057974
90,92,0.00298483083302919
11,93,0.00271079984440912
14,93,0.00319437199792117
16,93,0.00310640444715928
34,93,0.00335613866613565
36,93,0.00268819181286957
38,93,0.00286706768300917
39,93,0.00309302561407657
42,93,0.00469028247358014
45,93,0.00284724969243795
47,93,0.00319318135696449
51,93,0.00284821373244853
56,93,0.0039705568214202
57,93,0.00327341195819291
60,93,0.00326252939660641
61,93,0.00330060565733661
68,93,0.00277453535207845
71,93,0.0048025316009934
77,93,0.00402849036474827
91,93,0.00270618977820556
4,94,0.00273040313657227
10,94,0.00275903823566895
29,94,0.00277637314575343
32,94,0.00292853916833328
19,95,0.00304395535667312
41,95,0.00328520375734887
53,95,0.00347785264474082
56,95,0.00324731082409479
69,95,0.0032347507288852
74,95,0.00272087772521363
79,95,0.00434247102950118
80,95,0.00336878300340762
81,95,0.0028641135976904
87,95,0.00404471248155577
3,96,0.00277409127594954
6,96,0.00273098574804414
23,96,0.00441452639840343
35,96,0.00314508965813162
45,96,0.00410371356041486
69,96,0.00290483418299947
79,96,0.00352244426072261
80,96,0.00340642552183685
81,96,0.00411675472106233
82,96,0.00269776298387748
86,96,0.00334398455515969
89,96,0.00336953736605693
95,96,0.00313920552224834
9,97,0.0033391589928793
16,97,0.00274673750386468
18,97,0.00352208207162484
26,97,0.00271761237899289
27,97,0.00347918178554325
32,97,0.00302842754358924
37,97,0.00313217463141812
44,97,0.00385730768927817
47,97,0.00295299292733794
48,97,0.00371450319743283
59,97,0.00351897179586202
72,97,0.00366136709674601
83,97,0.00292564259857536
16,98,0.00385884472901527
26,98,0.00342730584665357
41,98,0.00290419986183631
77,98,0.00323930410186238
87,98,0.00277327909087083
15,99,0.00389670422024201
32,99,0.00342199269044597
